id	parent_id	content	created_at
eaf16aa9-4cd5-46a6-b189-a512ac12f277		Встала по будильнику	26.07.2026 10:47:14
d51817fe-222d-4958-9135-e1d1fbda2418	eaf16aa9-4cd5-46a6-b189-a512ac12f277	Это сложно	26.07.2026 10:47:34
4b6aa545-7b7a-41cb-ae81-b07a1e01c696	eaf16aa9-4cd5-46a6-b189-a512ac12f277	Это прекрасно - мне кажется, поздний подъём мне вреден	26.07.2026 10:47:52
80fe5af9-0863-4142-b152-4a444fc682d6	4b6aa545-7b7a-41cb-ae81-b07a1e01c696	Чувствую себя лучше, чем когда встаю поздно	26.07.2026 10:48:54
a215e7db-4c70-4cae-9d78-265df9c05337		Делаю новое приложение	26.07.2026 10:49:07
23e34d3e-927b-4e54-a69c-0f75c0f16af9	a215e7db-4c70-4cae-9d78-265df9c05337	Стыд за то, что не доделала всё старое	26.07.2026 10:49:20
efdf36d6-b008-46f7-b0a2-98ec3312f00a	a215e7db-4c70-4cae-9d78-265df9c05337	Стыд за дилетанство	26.07.2026 10:49:35
3ba1ae8d-f7ae-4b10-a158-a01e44180e1b	efdf36d6-b008-46f7-b0a2-98ec3312f00a	Удивление и интерес к тому, что можно сделать прототип чего-то, не разбираясь. Готовая страничка или код без написания.	26.07.2026 10:50:28
178b0b41-f5a3-4d1b-a189-ec41154b5aa1	3ba1ae8d-f7ae-4b10-a158-a01e44180e1b	"Надежда на то, что это """"то самое"""	26.07.2026 10:50:45
324fa17a-8971-43f5-ab95-c95b82d5b467	a215e7db-4c70-4cae-9d78-265df9c05337	Оно лучше/полезнее/осмысленнее чем предыдущие	26.07.2026 10:50:57
d0f5fb1f-6835-4f19-8686-f4cc9e797eee		Закончила MVP трекера настроения: собирает данные с разных устройств, синхронизирует, можно скачать базу.	26.07.2026 13:31:50
11143761-66fd-40d3-afbc-82ed5e18336d	d0f5fb1f-6835-4f19-8686-f4cc9e797eee	Нейтрально	26.07.2026 13:32:05
abfb2000-899d-4b4a-9e90-204da04c20e0	d0f5fb1f-6835-4f19-8686-f4cc9e797eee	"Наконец-то что-то до конца. MVP тоже считается ""до конца""."	26.07.2026 13:32:36
447b1d40-797e-4daa-a744-ddb5e5f15817	d0f5fb1f-6835-4f19-8686-f4cc9e797eee	Не написала сама ни строчки кода. Раньше без ИИ такое делал бы недели две.	26.07.2026 13:33:18
c160bcb8-63c0-4f8f-93b9-243529e4ef69	11143761-66fd-40d3-afbc-82ed5e18336d	Вижу как это работает в телефоне и радуюсь! Нужно продумать дизайн. Сейчас всё сплошняком, это трудно для восприятия.	26.07.2026 13:34:36
7d28c9a0-ba3e-477b-aa81-77a8792145d2	d0f5fb1f-6835-4f19-8686-f4cc9e797eee	"Нужно ждать и не торопиться получить из этого ""продукт"" - собирать в неё факты. Неделю по крайней мере. Всё же в первую очередь это инструмент для исследования моего настроения, а не прототип продукта."	26.07.2026 13:52:43
fa752fb1-119d-40d3-a581-ef9d2f88ed10		Поговорила с Андреем о возникновении жизни нормально, без раздражения.	26.07.2026 14:01:54
